Date,Team,Division,Score,Opponent,Travel_km,Game_Status,Team_Status,Score_Type,Temp,Windspeed,Humidity,Visibility,Precipitation,Cast,Date_day,Total_Score
2019-12-05 14:00:00,Kent Exiles,Premiership South,9,0,238,@ Away,W,Score @ Away,36.8,15.1,92.4,8.5,0.0,partly-cloudy-day,2019-12-05,9
2019-05-05 14:30:00,Kent Exiles,Premiership South,23,33,4,@ Away,L,Score @ Away,43.6,10.3,61.6,18.7,0.01,rain,2019-05-05,56
2019-07-28 14:00:00,Bristol Aztecs,Premiership South,0,55,0,@ Home,L,Score @ Home,63.1,14.6,69.6,20.7,0.0,partly-cloudy-day,2019-07-28,55
2019-07-21 14:00:00,Bristol Aztecs,Premiership South,30,0,0,@ Home,W,Score @ Home,62.7,11.6,77.7,24.7,0.0,partly-cloudy-day,2019-07-21,30
2019-07-07 14:30:00,Bristol Aztecs,Premiership South,11,10,240,@ Away,W,Score @ Away,62.1,7.4,77.3,15.4,0.15,rain,2019-07-07,21
2019-06-30 14:00:00,Bristol Aztecs,Premiership South,8,20,0,@ Home,L,Score @ Home,62.3,13.9,76.0,18.8,0.0,partly-cloudy-day,2019-06-30,28
2019-06-23 15:00:00,Bristol Aztecs,Premiership South,12,17,238,@ Away,L,Score @ Away,64.0,11.0,74.4,14.4,0.0,partly-cloudy-day,2019-06-23,29
2019-09-06 14:00:00,Bristol Aztecs,Premiership South,26,9,154,@ Away,W,Score @ Away,54.2,17.2,83.2,18.6,0.08,rain,2019-09-06,35
2019-02-06 14:00:00,Bristol Aztecs,Premiership South,36,20,0,@ Home,W,Score @ Home,42.6,12.1,92.3,8.4,0.25,rain,2019-02-06,56
2019-05-19 14:00:00,Bristol Aztecs,Premiership South,0,38,203,@ Away,L,Score @ Away,55.2,6.4,79.8,6.7,0.0,partly-cloudy-day,2019-05-19,38
2019-12-05 14:00:00,Bristol Aztecs,Premiership South,0,9,0,@ Home,L,Score @ Home,36.8,15.1,92.4,8.5,0.0,partly-cloudy-day,2019-12-05,9
2019-04-21 15:30:00,Bristol Aztecs,Premiership South,2,33,195,@ Away,L,Score @ Away,60.4,11.5,48.6,11.8,0.0,clear-day,2019-04-21,35
2019-07-28 13:30:00,London Blitz,Premiership South,15,14,0,@ Home,W,Score @ Home,65.3,13.9,70.6,25.2,0.0,clear-day,2019-07-28,29
